"test_partner","produced_label","correct","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"A","label_A","matching",1670.67225372134,210.22642866631,41.2287946939399,26
"A","label_B","non-matching",2156.00245743146,720.213792283627,144.042758456725,25
"B","label_A","non-matching",2345.10846375846,718.757275305831,140.959898935431,26
"B","label_B","matching",1743.75398713678,342.529763480845,67.1756133836597,26
