"training_order","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB",-4.08405906713002,0.8703442079364,Inf,-5.7899023688384,-2.37821576542163,0.016560120731248,0.00304895618136703,0.0848490083437522
"BA",-5.31372843036973,0.650160059307785,Inf,-6.58801873079941,-4.03943812994004,0.00489941296157968,0.00137487212947605,0.017302707637924
