"c_norm","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"A",-5.29728759177789,1.08091906512233,Inf,-7.41585002962037,-3.17872515393541,0.00498022474636282,0.00060127900925302,0.0399742291334808
-0.203437986445713,"A",-5.11270197821497,1.0504396773666,Inf,-7.17152591378539,-3.05387804264455,0.00598377447389097,0.000767560105191859,0.0450503422891065
-0.10291715311238,"A",-4.54722541603015,0.965144370501023,Inf,-6.43887362209374,-2.65557720996656,0.0104854548911458,0.00159565566468997,0.0656460921105139
0.138749513554287,"A",-3.18773772248736,0.827854482256814,Inf,-4.81030269215077,-1.56517275282395,0.039629790566343,0.00807958239754245,0.172905643242835
0.491022240827014,"A",-1.20603936042657,0.865709405946858,Inf,-2.90279861715997,0.490719896306841,0.230402590612925,0.0520153907127309,0.620276006846524
0.648364898169672,"A",-0.320913541143822,0.969624258587332,Inf,-2.22134216651134,1.5795150842237,0.420453127021933,0.097850259794821,0.829135831115282
-0.236250486445713,"B",7.99937167030837,1.48241541911254,Inf,5.09389083872094,10.9048525018958,0.999664439163606,0.993903291284494,0.999981631455064
-0.203437986445713,"B",7.72320743892828,1.44183073970976,Inf,4.89727111729441,10.5491437605622,0.999557756437072,0.992588410160401,0.999973784768893
-0.10291715311238,"B",6.877180507875,1.32737378161756,Inf,4.27557570188184,9.47878531386815,0.99897001498325,0.986286629446503,0.999923549093459
0.138749513554287,"B",4.8432090259645,1.13470590054893,Inf,2.61922632784351,7.06719172408549,0.992179914947708,0.93208874987598,0.999148102194531
0.491022240827014,"B",1.87832896612632,1.15058807235987,Inf,-0.376782216740379,4.13344014899303,0.867419070131655,0.406903221090738,0.984225186746969
0.648364898169672,"B",0.55406491954847,1.27238806996485,Inf,-1.93976987194107,3.04789971103801,0.635078168176679,0.125673140670766,0.954691764388565
