"test_partner","contrast","emmean","SE","df","asymp.LCL","asymp.UCL"
"A",".",3.44027373398626,0.672054367872201,Inf,1.83138915292042,5.04915831505211
"B",".",-6.00091731890403,1.22148123281822,Inf,-8.92511871612826,-3.07671592167979
".","A - B",9.44119105289029,1.39875388499461,Inf,6.09260250729554,12.789779598485
