"contrast","estimate","SE","df","z.ratio","p.value"
"c_norm0.648364898169672 AB A - c_norm0.138749513554287 AB B",7.14501880583627,2.2034326548952,Inf,3.2426762805583,0.00118412669807664
"c_norm0.648364898169672 AB A - c_norm0.491022240827014 AB B",1.2986164589622,2.19810017141988,Inf,0.590790390650554,0.554660874339218
"c_norm0.648364898169672 AB A - c_norm0.648364898169672 AB B",-1.31267987462921,2.41690197253181,Inf,-0.543124996192593,0.587043743400688
"c_norm0.648364898169672 AB A - (c_norm-0.236250486445713 BA B)",3.54223519742635,0.907888858195699,Inf,3.90161765446273,9.55519996247284e-05
"c_norm0.648364898169672 AB A - (c_norm-0.203437986445713 BA B)",3.43740513464626,0.894202639419056,Inf,3.84410085937508,0.000120995239243455
"c_norm0.648364898169672 AB A - (c_norm-0.10291715311238 BA B)",3.1162590693041,0.860209789800043,Inf,3.62267333649909,0.000291573947096379
"c_norm0.648364898169672 AB A - c_norm0.138749513554287 BA B",2.34417733708252,0.833552598587275,Inf,2.81227284403586,0.00491927558671582
"c_norm0.648364898169672 AB A - c_norm0.491022240827014 BA B",1.21872904403227,0.936759239985123,Inf,1.30100562877994,0.193256528049006
"c_norm0.648364898169672 AB A - c_norm0.648364898169672 BA B",0.716047424307583,1.02682419311502,Inf,0.697341793374921,0.485588918879623
"(c_norm-0.236250486445713 BA A) - (c_norm-0.203437986445713 BA A)",0.327997027797622,0.0728353652151884,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.236250486445713 BA A) - (c_norm-0.10291715311238 BA A)",1.33281331930462,0.295965928493463,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.236250486445713 BA A) - c_norm0.138749513554287 BA A",3.74853746054426,0.832404173887868,Inf,4.50326605528196,6.691702375823e-06
"(c_norm-0.236250486445713 BA A) - c_norm0.491022240827014 BA A",7.26989083257067,1.61435960996435,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.236250486445713 BA A) - c_norm0.648364898169672 BA A",8.84270375307876,1.96362010250472,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.236250486445713 BA A) - (c_norm-0.236250486445713 AB B)",20.8494838889597,3.20572263236146,Inf,6.50383276409699,7.82989404776709e-11
"(c_norm-0.236250486445713 BA A) - (c_norm-0.203437986445713 AB B)",20.304919799392,3.13528221576404,Inf,6.47626542111581,9.40206010432544e-11
"(c_norm-0.236250486445713 BA A) - (c_norm-0.10291715311238 AB B)",18.6366520329386,2.93805738569822,Inf,6.34318857203316,2.25057670553358e-10
"(c_norm-0.236250486445713 BA A) - c_norm0.138749513554287 AB B",14.6258942939002,2.60857601354623,Inf,5.6068499510647,2.06042138391115e-08
"(c_norm-0.236250486445713 BA A) - c_norm0.491022240827014 AB B",8.77949194702617,2.6082444459965,Inf,3.36605411371705,0.000762517481098415
"(c_norm-0.236250486445713 BA A) - c_norm0.648364898169672 AB B",6.16819561343476,2.79685907011972,Inf,2.20540093683402,0.0274259723688552
"(c_norm-0.236250486445713 BA A) - (c_norm-0.236250486445713 BA B)",11.0231106854903,1.73702733292144,Inf,6.34596271260221,2.21038771389863e-10
"(c_norm-0.236250486445713 BA A) - (c_norm-0.203437986445713 BA B)",10.9182806227102,1.72900046596334,Inf,6.31479333733259,2.70522737835093e-10
"(c_norm-0.236250486445713 BA A) - (c_norm-0.10291715311238 BA B)",10.5971345573681,1.70883939533409,Inf,6.20136367777048,5.59759945928439e-10
"(c_norm-0.236250486445713 BA A) - c_norm0.138749513554287 BA B",9.82505282514649,1.6887053340108,Inf,5.81809782160827,5.95210675991573e-09
"(c_norm-0.236250486445713 BA A) - c_norm0.491022240827014 BA B",8.69960453209623,1.73220514630694,Inf,5.02227149633159,5.10639314656714e-07
"(c_norm-0.236250486445713 BA A) - c_norm0.648364898169672 BA B",8.19692291237155,1.77826987187911,Inf,4.60949321697152,4.03651701923998e-06
"(c_norm-0.203437986445713 BA A) - (c_norm-0.10291715311238 BA A)",1.004816291507,0.223130563278275,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.203437986445713 BA A) - c_norm0.138749513554287 BA A",3.42054043274663,0.75956880867268,Inf,4.50326605528196,6.69170237582306e-06
"(c_norm-0.203437986445713 BA A) - c_norm0.491022240827014 BA A",6.94189380477305,1.54152424474916,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.203437986445713 BA A) - c_norm0.648364898169672 BA A",8.51470672528114,1.89078473728953,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.203437986445713 BA A) - (c_norm-0.236250486445713 AB B)",20.5214868611621,3.180737833972,Inf,6.45180078722035,1.10528812088889e-10
"(c_norm-0.203437986445713 BA A) - (c_norm-0.203437986445713 AB B)",19.9769227715944,3.10977109233148,Inf,6.42392066118834,1.32808441750807e-10
"(c_norm-0.203437986445713 BA A) - (c_norm-0.10291715311238 AB B)",18.308655005141,2.91094775039309,Inf,6.28958558348174,3.18314581079916e-10
"(c_norm-0.203437986445713 BA A) - c_norm0.138749513554287 AB B",14.2978972661026,2.57835547948004,Inf,5.54535531655472,2.93357827848734e-08
"(c_norm-0.203437986445713 BA A) - c_norm0.491022240827014 AB B",8.45149491922855,2.57853240771595,Inf,3.27763765696271,0.00104679674951132
"(c_norm-0.203437986445713 BA A) - c_norm0.648364898169672 AB B",5.84019858563714,2.76938459810764,Inf,2.10884345555609,0.03495809626802
"(c_norm-0.203437986445713 BA A) - (c_norm-0.236250486445713 BA B)",10.6951136576927,1.6920171708244,Inf,6.32092501312012,2.6000217975784e-10
"(c_norm-0.203437986445713 BA A) - (c_norm-0.203437986445713 BA B)",10.5902835949126,1.68377817918101,Inf,6.28959546207192,3.18294326725175e-10
"(c_norm-0.203437986445713 BA A) - (c_norm-0.10291715311238 BA B)",10.2691375295704,1.66307652491234,Inf,6.17478352664003,6.62541848009277e-10
"(c_norm-0.203437986445713 BA A) - c_norm0.138749513554287 BA B",9.49705579734887,1.64239992258951,Inf,5.78242586761402,7.36310197918386e-09
"(c_norm-0.203437986445713 BA A) - c_norm0.491022240827014 BA B",8.37160750429861,1.68712016268081,Inf,4.9620695013189,6.97460278364632e-07
"(c_norm-0.203437986445713 BA A) - c_norm0.648364898169672 BA B",7.86892588457393,1.73439407436293,Inf,4.53698845083076,5.70632302493981e-06
"(c_norm-0.10291715311238 BA A) - c_norm0.138749513554287 BA A",2.41572414123964,0.536438245394405,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.10291715311238 BA A) - c_norm0.491022240827014 BA A",5.93707751326605,1.31839368147089,Inf,4.50326605528196,6.69170237582306e-06
"(c_norm-0.10291715311238 BA A) - c_norm0.648364898169672 BA A",7.50989043377414,1.66765417401125,Inf,4.50326605528196,6.69170237582303e-06
"(c_norm-0.10291715311238 BA A) - (c_norm-0.236250486445713 AB B)",19.5166705696551,3.11356834781812,Inf,6.26826470128132,3.6509378141971e-10
"(c_norm-0.10291715311238 BA A) - (c_norm-0.203437986445713 AB B)",18.9721064800874,3.04115847407249,Inf,6.23844717131146,4.41935818780651e-10
"(c_norm-0.10291715311238 BA A) - (c_norm-0.10291715311238 AB B)",17.303838713634,2.83793852659557,Inf,6.09732682772092,1.07856859842337e-09
"(c_norm-0.10291715311238 BA A) - c_norm0.138749513554287 AB B",13.2930809745956,2.4967474853253,Inf,5.32415915214737,1.01421081041202e-07
"(c_norm-0.10291715311238 BA A) - c_norm0.491022240827014 AB B",7.44667862772155,2.49855048799109,Inf,2.98039950103586,0.00287872680081136
"(c_norm-0.10291715311238 BA A) - c_norm0.648364898169672 AB B",4.83538229413014,2.69574321156531,Inf,1.79371027380699,0.0728594246316132
