"test_partner","produced_label","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans","match"
"A","label_A",0.000670841903373325,1.49730685108841e-05,42.1334155626832,0.000640627862219717,0.000701055944526933,1490.66418625835,1426.41968562836,1560.96863557431,"match"
"B","label_A",0.000584914780987986,2.69093916275779e-05,45.0590446481777,0.000530718444261842,0.000639111117714129,1709.65076025415,1564.6731409972,1884.23826383284,"non-match"
"A","label_B",0.000600192087110061,2.57032742546763e-05,43.826447783158,0.000548384747128105,0.000651999427092017,1666.13326212784,1533.74367897852,1823.5372249812,"non-match"
"B","label_B",0.000669229251820966,1.70529559849081e-05,30.3440405778121,0.000634419020156381,0.000704039483485551,1494.25626163084,1420.37488444428,1576.245301967,"match"
