"contrast","estimate","SE","df","z.ratio","p.value"
"c_norm0.491022240827014 AB - c_norm0.138749513554287 BA",-1.15799690423426,1.1830792994803,Inf,-0.978799058307374,0.327679275108788
"c_norm0.491022240827014 AB - c_norm0.491022240827014 BA",0.0399556352538166,1.21393552163277,Inf,0.0329141330340803,0.973743062371277
"c_norm0.491022240827014 AB - c_norm0.648364898169672 BA",0.575021285645518,1.27636418221022,Inf,0.450515059620195,0.652339097867529
"c_norm0.648364898169672 AB - (c_norm-0.236250486445713 BA)",-1.31298020800421,1.41836342712545,Inf,-0.925700834422373,0.354601474124638
"c_norm0.648364898169672 AB - (c_norm-0.203437986445713 BA)",-1.20139672549544,1.40175114262788,Inf,-0.857068483099765,0.391407037997606
"c_norm0.648364898169672 AB - (c_norm-0.10291715311238 BA)",-0.859561612413019,1.35714787746288,Inf,-0.633358845183421,0.526499333786564
"c_norm0.648364898169672 AB - c_norm0.138749513554287 BA",-0.0377404079039904,1.29316308250701,Inf,-0.0291845695369096,0.976717387718265
"c_norm0.648364898169672 AB - c_norm0.491022240827014 BA",1.16021213158409,1.32081110988636,Inf,0.878408822351524,0.379721898358122
"c_norm0.648364898169672 AB - c_norm0.648364898169672 BA",1.69527778197579,1.37813370659995,Inf,1.23012576635854,0.218650012660544
"(c_norm-0.236250486445713 BA) - (c_norm-0.203437986445713 BA)",0.111583482508769,0.0405452286101392,Inf,2.75207432128931,0.00592190795377121
"(c_norm-0.236250486445713 BA) - (c_norm-0.10291715311238 BA)",0.453418595591187,0.164755214669772,Inf,2.75207432128931,0.00592190795377119
"(c_norm-0.236250486445713 BA) - c_norm0.138749513554287 BA",1.27523980010022,0.463374041258734,Inf,2.75207432128931,0.0059219079537712
"(c_norm-0.236250486445713 BA) - c_norm0.491022240827014 BA",2.4731923395883,0.898664807289665,Inf,2.75207432128931,0.00592190795377121
"(c_norm-0.236250486445713 BA) - c_norm0.648364898169672 BA",3.00825798998,1.09308748194368,Inf,2.75207432128931,0.0059219079537712
"(c_norm-0.203437986445713 BA) - (c_norm-0.10291715311238 BA)",0.341835113082418,0.124209986059632,Inf,2.75207432128931,0.0059219079537712
"(c_norm-0.203437986445713 BA) - c_norm0.138749513554287 BA",1.16365631759145,0.422828812648595,Inf,2.75207432128931,0.00592190795377122
"(c_norm-0.203437986445713 BA) - c_norm0.491022240827014 BA",2.36160885707953,0.858119578679526,Inf,2.75207432128931,0.00592190795377121
"(c_norm-0.203437986445713 BA) - c_norm0.648364898169672 BA",2.89667450747123,1.05254225333354,Inf,2.75207432128931,0.00592190795377122
"(c_norm-0.10291715311238 BA) - c_norm0.138749513554287 BA",0.82182120450903,0.298618826588962,Inf,2.75207432128931,0.00592190795377119
"(c_norm-0.10291715311238 BA) - c_norm0.491022240827014 BA",2.01977374399711,0.733909592619894,Inf,2.75207432128931,0.0059219079537712
"(c_norm-0.10291715311238 BA) - c_norm0.648364898169672 BA",2.55483939438881,0.928332267273909,Inf,2.75207432128931,0.00592190795377121
"c_norm0.138749513554287 BA - c_norm0.491022240827014 BA",1.19795253948808,0.435290766030931,Inf,2.75207432128931,0.00592190795377119
"c_norm0.138749513554287 BA - c_norm0.648364898169672 BA",1.73301818987978,0.629713440684947,Inf,2.75207432128931,0.00592190795377121
"c_norm0.491022240827014 BA - c_norm0.648364898169672 BA",0.535065650391702,0.194422674654015,Inf,2.75207432128931,0.0059219079537712
