"test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"A",-0.704684861438203,0.451549122751543,Inf,-1.58970487928188,0.180335156405477,0.330774353418692,0.169425422402375,0.544962005180497
"B",-0.791539150635485,0.432314352165986,Inf,-1.63885971088058,0.0557814096096119,0.311838279510845,0.16262028163553,0.513941737537219
