"correct","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"matching",0.699062008253185,0.127813175596579,0.0250662260177391,26
"non-matching",0.200263181689013,0.102027126232071,0.0200091656758894,26
"other",0.104701802460114,0.0445913922265887,0.00891827844531773,25
