"training_order","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB","A",-4.82028832433732,1.62917489571717,Inf,-8.01341244445977,-1.62716420421488,0.00799994636287894,0.000330883773078348,0.164219207243744
"BA","A",-7.53464041943727,1.1794908868408,Inf,-9.84640007773845,-5.22288076113609,0.000533968061824146,5.29346187852383e-05,0.00536285899305165
"AB","B",-3.34782980992271,0.585759505169037,Inf,-4.49589734365603,-2.19976227618939,0.0339663017457716,0.0110316125934676,0.0997718388273975
"BA","B",-3.09281644130218,0.54402458444617,Inf,-4.15908503352104,-2.02654784908332,0.0434045441531881,0.0153815565572828,0.11644362490224
