"training_order","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB",-3.84324172011381,1.15097456800535,Inf,-6.09911042052584,-1.58737301970177,0.020974675671861,0.00223983569018872,0.169753815723003
"BA",1.28259813519604,0.688991306197779,Inf,-0.0678000106128127,2.6329962810049,0.782891711954333,0.483056487402986,0.932955209452242
