"contrast","estimate","SE","df","z.ratio","p.value"
"AB A - BA A",-3.59139801908348,1.26954804174409,Inf,-2.82887917667902,0.00467113302185477
"AB A - AB B",10.9756328891167,2.34980196359125,Inf,4.67087569896417,2.99918394719989e-06
"AB A - BA B",4.31535119758044,0.690100021681956,Inf,6.253225709315,4.02060405163205e-10
"BA A - AB B",14.5670309082001,2.60248413752256,Inf,5.59735627133053,2.17645154223493e-08
"BA A - BA B",7.90674921666392,1.41421912289221,Inf,5.59089400551584,2.25903456081207e-08
"AB B - BA B",-6.66028169153622,2.30931694840423,Inf,-2.88409163416852,0.00392544510873464
