"training_order","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB","A",-2.14565105541844,0.575136830482511,Inf,-3.27289852934668,-1.01840358149021,0.104738315405799,0.0365127222347068,0.26533848013104
"BA","A",-5.79088581986332,1.61138408064896,Inf,-8.94914058319647,-2.63263105653017,0.00304596828508429,0.000129831847769157,0.0670676388733735
"AB","B",9.2699855033516,2.28515478930108,Inf,4.79116441722227,13.7488065894809,0.999905798995108,0.991765584723645,0.999998931022163
"BA","B",2.75198471711566,0.648799642248035,Inf,1.48036078512704,4.02360864910428,0.940025341378383,0.814627068984112,0.982426071880516
