"contrast","estimate","SE","df","z.ratio","p.value"
"AB A - BA A",3.64523476444488,1.63200822075956,Inf,2.23358848201655,0.0255101624754256
"AB A - AB B",-11.41563655877,2.4000388849971,Inf,-4.75643816861902,1.97038552023529e-06
"AB A - BA B",-4.89763577253411,0.892525483970467,Inf,-5.48739040004393,4.0791494724502e-08
"BA A - AB B",-15.0608713232149,2.73746335421211,Inf,-5.50176180442412,3.76014735713262e-08
"BA A - BA B",-8.54287053697898,1.78254233167924,Inf,-4.79252042723226,1.64698996362997e-06
"AB B - BA B",6.51800078623593,2.29015239152479,Inf,2.84609915495459,0.00442584112934261
