"test_partner","contrast","emmean","SE","df","asymp.LCL","asymp.UCL"
"A",".",-0.704684861438203,0.451549122751543,Inf,-1.78568433993117,0.37631461705476
"B",".",-0.791539150635485,0.432314352165986,Inf,-1.82649097689248,0.243412675621509
".","A - B",0.0868542891972822,0.44866041462245,Inf,-0.987229680387059,1.16093825878162
