"","error","count_mean","count_sd","perc_mean","perc_sd"
"1","4",5.57692307692308,2.83087374389007,4.72257189527792,2.40686425594256
"2","correct",103.730769230769,4.7712278697014,87.8481619685594,3.86824277232341
"3","t2",4.19230769230769,2.88470769083082,3.54991832636485,2.45192658624449
"4","a1",0.384615384615385,0.697247334992287,0.324334247478608,0.587825794927488
"5","a2",0.615384615384615,0.8038369524685,0.520482099237213,0.683753742635831
"6","6",0.0384615384615385,0.196116135138184,0.0325945241199478,0.166200114523885
"7","a3",0.0769230769230769,0.271746488194703,0.0652077807250221,0.230395653119434
"8","t5",1.30769230769231,1.71509138576883,1.10838241244436,1.45310624552159
"9","t1",1.61538461538462,1.79057360813619,1.37307242728049,1.5319284268348
"10","9",0,0,0,0
"11","a5",0.192307692307692,0.49146562599887,0.1624481110162,0.413336929418016
"12","t3",0.153846153846154,0.36794648440312,0.12929161234246,0.309233465319462
"13","8",0.192307692307692,0.40191847623425,0.163534595153531,0.34179338561426
