"contrast","estimate","SE","df","t.ratio","p.value"
"A label_A - B label_A",8.59271223853394e-05,2.464808751138e-05,51.8379747054123,3.48615779401412,0.00539573028882989
"A label_A - A label_B",7.06498162632644e-05,2.32778087381685e-05,45.2309943472286,3.03507160222604,0.0200449133337158
"A label_A - B label_B",1.6126515523593e-06,1.30597861524581e-05,24.9452842305382,0.123482232674673,0.999308076558431
"B label_A - A label_B",-1.5277306122075e-05,3.38136619633431e-05,24.6315906792155,-0.451808684271966,0.968650454635827
"B label_A - B label_B",-8.43144708329801e-05,2.4844821216506e-05,51.0022414544793,-3.39364369331684,0.00711717267996392
"A label_B - B label_B",-6.90371647109051e-05,2.26858857051981e-05,44.0771076971951,-3.04317696068998,0.0198278014676159
