"training_order","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB","A",1.64457472444453,0.303860703077226,Inf,1.04901869009614,2.24013075879291,0.838156460138572,0.740586416227048,0.903795828226637
"BA","A",5.235972743528,1.27155768057361,Inf,2.74376548533844,7.72818000171757,0.99470652462953,0.939560280650506,0.99955994909716
"AB","B",-9.33105816467214,2.30606552802913,Inf,-13.8508635455986,-4.8112527837457,8.86205497154682e-05,9.65263697901382e-07,0.00807197163347555
"BA","B",-2.67077647313592,0.576686196109727,Inf,-3.80106064789238,-1.54049229837945,0.0647199518057297,0.0218585819479201,0.176463720478164
