"c_norm","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"A",4.89943163170448,0.826683353139242,Inf,3.27916203293276,6.5197012304762,99.2604287422936,96.3706986416801,99.8528060344615
-0.203437986445713,"A",4.69677122986069,0.801114998791827,Inf,3.12661468475386,6.26692777496752,99.0957816015109,95.7977322170669,99.8105544897818
-0.10291715311238,"A",4.07592269722813,0.730220434446391,Inf,2.64471694493802,5.50712844951825,98.3306848765035,93.368462469589,99.5958656051328
0.138749513554287,"A",2.58331275348975,0.62376051250947,Inf,1.36076461399294,3.80586089298655,92.9779864538407,79.5883939421249,97.8243815837621
0.491022240827014,"A",0.407564716378937,0.688928762016032,Inf,-0.942710845086252,1.75784027784413,60.0503800021639,28.035308988167,85.293896386365
-0.236250486445713,"B",-8.33874108099419,1.4803428291526,Inf,-11.2401597109054,-5.43732245108298,0.0239015984970385,0.00131357525005192,0.433226781029169
-0.203437986445713,"B",-8.0140440048203,1.43892616087671,Inf,-10.8342874565511,-5.19380055308946,0.0330674935059336,0.00197115230215902,0.552022822697175
-0.10291715311238,"B",-7.0193370889225,1.32205683140165,Inf,-9.61052086398487,-4.42815331386012,0.0893618947044662,0.00670154155872869,1.17957126544662
0.138749513554287,"B",-4.62791735329253,1.12539823753193,Inf,-6.83365736711996,-2.42217733946511,0.968046848057595,0.107575375043335,8.14971213873033
0.491022240827014,"B",-1.14199203333037,1.14450611591327,Inf,-3.38518280060621,1.10119873394546,24.1954809040193,3.27617616834347,75.0484644842485
