"test_partner","c_norm","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"A",-0.236250486445713,0.000581159364169507,2.00212516826817e-05,66.124499664349,0.000541187050189826,0.000621131678149187,1720.69842052537,1609.96457784884,1847.78996402305
"B",-0.236250486445713,0.000546660605061307,2.17599468521146e-05,56.8328490829026,0.000503084285515602,0.000590236924607013,1829.288576388,1694.23490518797,1987.73849390887
"A",-0.10291715311238,0.000611837329121014,1.81463807201325e-05,49.7758153044189,0.000575385183013437,0.00064828947522859,1634.42136071794,1542.52080005987,1737.96619989891
"B",-0.10291715311238,0.000592042613258298,1.94174730987483e-05,41.4414709328488,0.00055284091347105,0.000631244313045547,1689.06760696923,1584.17268771156,1808.83862903965
"A",0.763749513554287,0.000811244101305812,3.22032913322953e-05,94.2189781011064,0.00074730564877271,0.000875182553838914,1232.67460236735,1142.61875492557,1338.14056088334
"B",0.763749513554287,0.000887025666538739,3.93976527791188e-05,100.326851721063,0.000808864963720945,0.000965186369356532,1127.36309412793,1036.06933515511,1236.3003033285
