"c_norm","training_order","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"AB","A",2.20130705717813,0.365827716654901,Inf,1.484297907988,2.91831620636826,0.900366823656223,0.815220876817393,0.948744480748524
-0.203437986445713,"AB","A",2.12398328128818,0.352246267766249,Inf,1.43359328277768,2.81437327979868,0.893212466164623,0.807460573500528,0.94344760514351
-0.10291715311238,"AB","A",1.88710250753006,0.319702279966215,Inf,1.26049755302094,2.51370746203918,0.868424807192856,0.779111746870516,0.925097194592999
0.138749513554287,"AB","A",1.31760676129292,0.314722460247024,Inf,0.700762074082914,1.93445144850293,0.788783258399591,0.668356712141278,0.873741309791592
0.491022240827014,"AB","A",0.487464059097721,0.468474841783479,Inf,-0.430729758460999,1.40565787665644,0.619508847778979,0.393952085456471,0.803080173349608
0.648364898169672,"AB","A",0.116680718166861,0.566716295333831,Inf,-0.994062810139413,1.22742424647313,0.529137130019194,0.270110343885864,0.773367439228305
-0.236250486445713,"BA","A",7.59755620623083,1.58033478596656,Inf,4.50015694222056,10.6949554702411,0.999498575623407,0.989014762608753,0.999977341559556
-0.203437986445713,"BA","A",7.26955917843321,1.53044498026679,Inf,4.26994213679019,10.2691762200762,0.999304065739203,0.986210224598476,0.999965315265835
-0.10291715311238,"BA","A",6.26474288692621,1.39027283680542,Inf,3.53985819810326,8.98962757574916,0.998101409067598,0.971800826353447,0.999875319022684
0.138749513554287,"BA","A",3.84901874568657,1.16449793768068,Inf,1.56664472776127,6.13139276361188,0.979143626327408,0.827304761493198,0.997831162472265
0.491022240827014,"BA","A",0.327665373660153,1.24345729531024,Inf,-2.1094661414615,2.76479688878181,0.581191218099358,0.108180161173779,0.940743602980886
0.648364898169672,"BA","A",-1.24514754684793,1.42344544434348,Inf,-4.03504935171878,1.54475425802291,0.223541251832862,0.0173774897579993,0.824154791918558
-0.236250486445713,"AB","B",-13.2519276827289,2.82281119633773,Inf,-18.7845359627073,-7.71931940275053,1.75695310467196e-06,6.94991804408523e-09,0.000443965604028808
-0.203437986445713,"AB","B",-12.7073635931612,2.7413914983943,Inf,-18.0803921975383,-7.33433498878408,3.02873165466917e-06,1.40535302189553e-08,0.000652312045147029
-0.10291715311238,"AB","B",-11.0390958267078,2.50955998601443,Inf,-15.9577430163389,-6.12044863707662,1.60610754382339e-05,1.17392462671359e-07,0.00219265158958511
0.138749513554287,"AB","B",-7.02833808766941,2.10319843322559,Inf,-11.1505312691326,-2.90614490620618,0.00088561866673343,1.4367445545599e-05,0.0518506330427691
0.491022240827014,"AB","B",-1.18193574079534,2.08645567287292,Inf,-5.27131371496555,2.90744223337487,0.23470432341194,0.00511060531879447,0.948213109274984
0.648364898169672,"AB","B",1.42936059279607,2.31132441239924,Inf,-3.10075201209465,5.95947319768679,0.806801669167807,0.0430762458353651,0.997425374373907
-0.236250486445713,"BA","B",-3.42555447925949,0.685180824152406,Inf,-4.76848421749567,-2.0826247410233,0.0315062991708727,0.00842171662214306,0.110797110022995
-0.203437986445713,"BA","B",-3.3207244164794,0.665228621076374,Inf,-4.62454855527434,-2.01690027768447,0.0348670227499798,0.00971281773208852,0.117439889367807
-0.10291715311238,"BA","B",-2.99957835113724,0.613112888988904,Inf,-4.20125753201279,-1.79789917026168,0.047444925500188,0.014755738524172,0.142106989985038
0.138749513554287,"BA","B",-2.22749661891566,0.560326132498371,Inf,-3.32571565820909,-1.12927757962224,0.0973083149298869,0.0346994502925243,0.244294445666307
0.491022240827014,"BA","B",-1.10204832586541,0.687166115731054,Inf,-2.44886916409455,0.244772512363742,0.249356296606024,0.0795212843656825,0.560889422607334
0.648364898169672,"BA","B",-0.599366706140723,0.798821064274668,Inf,-2.16502722221103,0.966293809929581,0.354488594790082,0.102935312101009,0.724380159484124
