"test_partner","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"A",0.000843922420371004,3.5758896266402e-05,27.8091568936182,0.000770650988778228,0.000917193851963781,1184.94304199239,1090.28205745048,1297.60425219901
"B",0.000827334137610883,3.27032169214127e-05,33.6932464064918,0.000760850909839007,0.00089381736538276,1208.70148412796,1118.79679085421,1314.31793938657
