"training_order","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"AB",3.56216722396658,1.15598907003788,Inf,1.29647028017039,5.82786416776276,0.972405789874141,0.785240337644554,0.997064284873082
"BA",-1.51945055137383,0.845213301195578,Inf,-3.17603818097137,0.137137078223708,0.179542442760219,0.0400774727424578,0.534230639596834
