"contrast","estimate","SE","df","t.ratio","p.value","p.valueBonf2","p.valueBonf4"
"A label_A - B label_A",8.59271223853394e-05,2.464808751138e-05,51.8379747054123,3.48615779401412,0.0010066178500126,0.0020132357000252,0.0040264714000504
"A label_A - A label_B",7.06498162632644e-05,2.32778087381685e-05,45.2309943472286,3.03507160222604,0.00397866758298514,0.00795733516597029,0.0159146703319406
"A label_A - B label_B",1.6126515523593e-06,1.30597861524581e-05,24.9452842305382,0.123482232674673,0.902714810436558,1.80542962087312,3.61085924174623
"B label_A - A label_B",-1.5277306122075e-05,3.38136619633431e-05,24.6315906792155,-0.451808684271966,0.655360227933632,1.31072045586726,2.62144091173453
"B label_A - B label_B",-8.43144708329801e-05,2.4844821216506e-05,51.0022414544793,-3.39364369331684,0.00134146502547591,0.00268293005095183,0.00536586010190365
"A label_B - B label_B",-6.90371647109051e-05,2.26858857051981e-05,44.0771076971951,-3.04317696068998,0.00393707232980263,0.00787414465960526,0.0157482893192105
