"test_partner","emmean","SE","df","lower.CL","upper.CL","emmean_untrans","lower.CL_untrans","upper.CL_untrans"
"A",0.00063899610264566,2.75060287136415e-05,50.5771282786989,0.000583764233622739,0.000694227971668581,1564.95477180481,1440.44901791625,1713.02032978995
"B",0.000610436658072393,2.59081682366337e-05,62.2749487261826,0.000558651515739619,0.000662221800405167,1638.17160515515,1510.06807596514,1790.02467875893
