"c_norm","training_order","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"AB",-5.52531031277538,1.41230092416877,Inf,-8.29336925947881,-2.75725136607196,0.00396881773980015,0.000250107583581195,0.0596784242680165
-0.203437986445713,"AB",-5.29169015593651,1.37099282640412,Inf,-7.97878671875136,-2.60459359312166,0.00500803940105368,0.000342537535020564,0.0688433689882218
-0.10291715311238,"AB",-4.57599665958885,1.25357523532879,Inf,-7.03295897274459,-2.1190343464331,0.0101911044810146,0.000881539364466762,0.107260502245183
0.138749513554287,"AB",-2.85536566318824,1.04992168228405,Inf,-4.91317434705268,-0.797556979323806,0.0544046210771718,0.00729550702430356,0.310548347074416
0.491022240827014,"AB",-0.34723584084881,1.0517260456847,Inf,-2.40858101199355,1.71410933029594,0.414052882574459,0.082520687538997,0.847368523912606
0.648364898169672,"AB",0.773020655481465,1.17104234046757,Inf,-1.52218015620647,3.0682214671694,0.684173959650564,0.179140704645482,0.95556271241598
-0.236250486445713,"BA",2.08600086348567,0.853902459261028,Inf,0.412382797023876,3.75961892994747,0.889535072508711,0.601659091015986,0.977237581445502
-0.203437986445713,"BA",1.9744173809769,0.826812094003203,Inf,0.353895454748478,3.59493930720533,0.878084792500663,0.58756189672527,0.973271672781897
-0.10291715311238,"BA",1.63258226789448,0.751397431637957,Inf,0.159870363808192,3.10529417198078,0.836523076579569,0.539882681877152,0.957110596998165
0.138749513554287,"BA",0.810761063385455,0.636176912490536,Inf,-0.436122772891886,2.0576448996628,0.692271658579934,0.392665221652367,0.886717817046836
0.491022240827014,"BA",-0.387191476102626,0.70081062663664,Inf,-1.76075506429339,0.986372112088134,0.404393578084227,0.146695798550719,0.728370751300672
0.648364898169672,"BA",-0.922257126494328,0.807566182888598,Inf,-2.50505776008847,0.66054350709981,0.284498212532148,0.0755043719875485,0.659382469211979
