"test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"A",-6.1774643718873,0.98971309312324,Inf,-8.11726638943658,-4.23766235433801,0.00207138481012204,0.000298254118546138,0.0142357285003645
"B",-3.22032312561245,0.403832660287317,Inf,-4.01182059555659,-2.42882565566831,0.0384080497647123,0.0177786115044237,0.0810008420590714
