"test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans","produced_label"
"A",3.44027373398626,0.672054367872201,Inf,2.12307137730392,4.75747609066861,96.8939755060766,89.3125453960588,99.1485857592495,"label_A"
"B",-6.00091731890403,1.22148123281822,Inf,-8.39497654301933,-3.60685809478872,0.247036161334205,0.0225948713183215,2.642001556855,"label_A"
"A",3.44027373398626,0.672054367872201,Inf,2.12307137730392,4.75747609066861,3.10602449392335,0.85141424075047,10.6874546039412,"label_B"
"B",-6.00091731890403,1.22148123281822,Inf,-8.39497654301933,-3.60685809478872,99.7529638386658,97.357998443145,99.9774051286817,"label_B"
