"contrast","estimate","SE","df","z.ratio","p.value"
"AB A - BA A",2.71435209509995,2.04271661254145,Inf,1.32879523201355,0.18391553566643
"AB A - AB B",-1.47245851441461,1.72181703915023,Inf,-0.855177107052742,0.392453107823731
"AB A - BA B",-1.72747188303514,1.70668017402966,Inf,-1.012182545577,0.311450780161222
"BA A - AB B",-4.18681060951456,1.30531695798289,Inf,-3.2075049541871,0.00133891754396464
"BA A - BA B",-4.44182397813509,1.29749396544579,Inf,-3.42338700327516,0.000618459585832904
"AB B - BA B",-0.255013368620527,0.791094572536356,Inf,-0.322355098206426,0.747183696541372
