"partner","produced_label","correct","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"A","label_A","matched",0.684835732078379,0.16021127456946,0.031420015974125,26
"A","label_B","non-matched",0.218229952237305,0.137139607914564,0.0268952898785702,26
"A","other","other",0.0969343156843157,0.0676129886300676,0.0132599980152708,26
"B","label_A","non-matched",0.1829046046195,0.111156749680279,0.0217996321418188,26
"B","label_B","matched",0.712727438990485,0.142760452350382,0.0279976281655359,26
"B","other","other",0.104367956390015,0.0707842228515603,0.0138819282144079,26
