"test_partner","contrast","emmean","SE","df","asymp.LCL","asymp.UCL"
"A",".",4.41035596938573,0.782821367547133,Inf,2.53629742861159,6.28441451015987
"B",".",7.98313064831137,2.24003842139132,Inf,2.62052391668322,13.3457373799395
".","A - B",-3.57277467892564,2.25614869900708,Inf,-8.97394908973539,1.82839973188411
