"test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
"A",3.44027373398626,0.672054367872201,Inf,2.12307137730392,4.75747609066861,0.968939755060766,0.893125453960588,0.991485857592495
"B",-6.00091731890403,1.22148123281822,Inf,-8.39497654301933,-3.60685809478872,0.00247036161334205,0.000225948713183215,0.02642001556855
