"c_norm","test_partner","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"A",4.89943163170448,0.826683353139242,Inf,3.27916203293276,6.5197012304762,0.992604287422936,0.963706986416801,0.998528060344615
-0.203437986445713,"A",4.69677122986069,0.801114998791827,Inf,3.12661468475386,6.26692777496752,0.990957816015109,0.957977322170669,0.998105544897818
-0.10291715311238,"A",4.07592269722813,0.730220434446391,Inf,2.64471694493802,5.50712844951825,0.983306848765035,0.93368462469589,0.995958656051328
0.138749513554287,"A",2.58331275348975,0.62376051250947,Inf,1.36076461399294,3.80586089298655,0.929779864538407,0.795883939421249,0.978243815837621
0.491022240827014,"A",0.407564716378937,0.688928762016032,Inf,-0.942710845086252,1.75784027784413,0.600503800021639,0.28035308988167,0.852938963863651
0.648364898169672,"A",-0.564233414340536,0.791290566607797,Inf,-2.11513442619811,0.986667597517038,0.362568496297148,0.107634514168489,0.728429208202102
-0.236250486445713,"B",-8.33874108099419,1.4803428291526,Inf,-11.2401597109054,-5.43732245108298,0.000239015984970385,1.31357525005192e-05,0.00433226781029169
-0.203437986445713,"B",-8.0140440048203,1.43892616087671,Inf,-10.8342874565511,-5.19380055308946,0.000330674935059336,1.97115230215902e-05,0.00552022822697175
-0.10291715311238,"B",-7.0193370889225,1.32205683140165,Inf,-9.61052086398487,-4.42815331386012,0.000893618947044662,6.70154155872869e-05,0.0117957126544662
0.138749513554287,"B",-4.62791735329253,1.12539823753193,Inf,-6.83365736711996,-2.42217733946511,0.00968046848057595,0.00107575375043335,0.0814971213873033
0.491022240827014,"B",-1.14199203333037,1.14450611591327,Inf,-3.38518280060621,1.10119873394546,0.241954809040193,0.0327617616834347,0.750484644842485
0.648364898169672,"B",0.414996943327673,1.27073544225839,Inf,-2.07559875737735,2.9055926440327,0.602285444700638,0.11149121292574,0.948122209843652
