"c_norm","training_order","emmean","SE","df","asymp.LCL","asymp.UCL","emmean_untrans","asymp.LCL_untrans","asymp.UCL_untrans"
-0.236250486445713,"AB",5.09328726353388,1.41481111688481,Inf,2.32030842951276,7.86626609755499,0.993899632806684,0.9105450662793,0.999616683480174
-0.203437986445713,"AB",4.88063214034603,1.37386207751929,Inf,2.18791194868285,7.57335233200922,0.992464994204139,0.899158735748449,0.999486297455151
-0.10291715311238,"AB",4.22916485819913,1.25753568200985,Inf,1.76444021218581,6.69388950421246,0.985644531982075,0.85376489370969,0.998763075465581
0.138749513554287,"AB",2.66294299852991,1.05607686766652,Inf,0.593070372997655,4.73281562406216,0.934804258057418,0.644069321312462,0.991275139235732
0.491022240827014,"AB",0.379892325344357,1.05760885353275,Inf,-1.69298293731053,2.45276758799924,0.593847132853993,0.155383957525396,0.920763603751046
0.648364898169672,"AB",-0.639832541090881,1.17541627623582,Inf,-2.94360610935528,1.66394102717352,0.345284394689834,0.0500395761465424,0.840766329950586
-0.236250486445713,"BA",-2.3912031850034,1.04716412152983,Inf,-4.44360714910439,-0.338799220902405,0.0838459619694741,0.0116169263178386,0.416101190119183
-0.203437986445713,"BA",-2.27012667963272,1.01483774979465,Inf,-4.2591721193819,-0.281081239883542,0.0936274614784017,0.0139370131046283,0.430188715655593
-0.10291715311238,"BA",-1.89920976635429,0.923555735452911,Inf,-3.70934574555739,-0.0890737871511795,0.130197939357925,0.0239079525745468,0.477746264953526
0.138749513554287,"BA",-1.00747169505277,0.771865779540673,Inf,-2.52030082385142,0.505357433745884,0.267474935523487,0.0744472142969794,0.62371751955382
0.491022240827014,"BA",0.292397280355402,0.804045338827851,Inf,-1.28350262568449,1.86829718639529,0.572582925295515,0.216954589073608,0.86626112476915
0.648364898169672,"BA",0.87298391949553,0.912273964558784,Inf,-0.915040195073255,2.66100803406431,0.705366210018127,0.285969565680965,0.934686231888212
